Generation,AverageFitness,MaxFitness
0,-5079.855626,-1363.480693
1,-2308.030631,-302.938531
2,-2230.945297,-152.436864
3,-2453.584256,-582.996900
4,-2711.809631,194.338595
5,-399.113728,195.521283
6,-1219.207514,-516.748240
7,-587.854348,17.932496
8,-1485.343007,-508.252396
9,-1110.914208,-572.992935
10,-1651.062827,-180.302908
11,-617.158370,331.745070
12,-1464.915604,31.487159
13,-1261.481095,-816.579446
14,169.753311,663.146459
15,139.225983,863.930056
16,-745.879227,-239.034529
17,679.412712,1456.556765
18,-121.317850,601.497741
19,-474.498386,638.691829
20,-1299.334252,-256.048257
21,-98.796424,873.535884
22,-696.326263,130.129783
23,-200.198466,1029.320362
24,613.434574,1698.887033
25,313.447837,1297.684214
26,244.003222,1078.638556
27,777.680783,1768.633961
28,-805.595832,688.605374
29,-379.016162,617.312300
30,221.396077,989.279943
31,337.197898,1462.112666
32,461.082135,1417.917416
33,406.069576,1109.485293
34,723.422404,1626.724008
35,-30.445166,1869.515671
36,-64.940641,680.885053
37,627.316663,1373.491274
38,677.160482,2025.930129
39,269.387093,1134.864190
40,805.462226,1422.171808
41,979.031505,1720.162732
42,561.868861,1475.542287
43,1235.715796,2485.182775
44,407.206620,1351.029427
45,-124.168119,1114.439746
46,1092.869888,1698.418401
47,97.847946,1292.273164
48,1347.366766,1960.023067
49,1079.979706,1807.793327
50,1148.716967,2094.212460
51,1013.102992,1690.022746
52,1310.291132,2351.980469
53,1224.631718,2813.485662
54,1572.985036,2701.096050
55,1752.027563,3136.073164
56,1067.884704,2308.495423
57,1251.842650,5110.618822
58,1471.832823,2650.110710
59,1383.686628,4570.215476
60,1747.330216,5128.427811
61,2053.048760,8642.637477
62,2781.912144,11064.263568
63,4340.797111,12704.959409
64,4290.734994,10673.533632
65,4635.912412,10706.191108
66,4694.468884,11034.435323
67,4940.939162,11579.992672
68,3147.720166,10108.691990
69,5280.585473,13440.884995
70,5455.956138,12671.256875
71,5618.767605,11905.745742
72,5246.854122,11113.940836
73,6419.336911,12132.100748
74,5699.775182,11070.797826
75,7725.034751,12260.454871
76,6408.157145,12128.528322
77,4864.337145,10755.548189
78,5665.174593,11495.683102
79,6858.980201,11408.543392
80,7283.854028,12026.853507
81,7427.956694,11668.697898
82,6097.901632,11223.331168
83,5261.497072,10448.505047
84,7634.223987,13167.688123
85,6213.770565,9936.175883
86,5440.636321,10009.951745
87,7519.879973,11973.246166
88,6730.327530,10888.914585
89,7562.712240,11898.633544
90,7926.198211,12823.479946
91,9693.380294,13603.428086
92,7899.848350,12156.195626
93,7678.231343,10826.262857
94,8252.256135,12877.021723
95,8361.571981,12918.354043
96,8303.540976,12305.860628
97,6684.192406,11838.413330
98,8855.797257,12354.040645
99,8283.112984,11199.714110
100,9453.070150,12818.252412
101,7075.733788,11280.161532
102,8622.681418,11920.512582
103,7351.510352,10887.754724
104,10198.414334,14183.496642
105,9874.434895,12601.542122
106,9933.772761,13357.384900
107,7636.928945,10155.745403
108,9187.422507,11768.193636
109,8570.606283,11421.955297
110,8702.276269,11345.836863
111,9344.083101,12342.311351
112,8228.703294,12317.257806
113,10148.039485,12464.229901
114,9730.215709,12469.731511
115,8203.856352,12641.116822
116,9493.466548,11670.094826
117,9080.314107,12292.592161
118,9165.369294,13252.965203
119,9264.739618,12639.678571
120,10981.564293,13619.509900
121,9278.453574,12207.530812
122,9962.456422,11872.632824
123,9849.560002,12614.918484
124,10664.143951,12886.801257
125,11049.094166,13658.214094
126,10207.313839,13006.673048
127,8996.486502,11398.237334
128,11106.054628,13530.887882
129,10502.909178,13177.159018
130,11563.792554,13579.150659
131,12012.098727,14414.346611
132,7911.174466,10048.392008
133,8960.687686,13279.207891
134,12182.981189,14744.794590
135,8789.551913,11496.629108
136,8163.767553,10908.424829
137,7850.690206,9963.002519
138,8459.348426,9959.637096
139,9200.488303,10850.801377
140,9700.628832,11577.780734
141,9670.138217,11545.893741
142,9313.684683,11504.866955
143,10396.798661,12598.379655
144,10830.219344,13415.075713
145,9740.796801,11604.347031
146,12110.941130,13738.524530
147,10850.229185,13106.954483
148,11067.783553,11995.088638
149,10646.898609,13016.442132
150,8451.633290,10020.589380
151,10896.313679,12398.693361
152,10936.719198,12214.408268
153,11878.004133,14108.806338
154,12346.386468,14315.526106
155,10804.372432,11899.951572
156,10367.089712,12627.989253
157,9261.422970,12191.569575
158,9821.728144,12735.850164
159,11309.386323,12400.562762
160,8764.332245,10673.535823
161,11286.469775,13020.491597
162,11179.811186,12283.984540
163,11903.075570,13240.730490
164,12604.944384,13791.819311
165,9909.291460,10870.288011
166,10733.549901,12240.898976
167,9814.443310,10878.411077
168,10667.573311,11803.733509
169,13027.551180,14499.085862
170,11510.251878,12411.058158
171,11966.925864,12836.686588
172,10343.773629,11244.317780
173,9673.642999,11140.837522
174,12460.845576,13695.871338
175,11702.970542,13300.972628
176,10594.057242,11969.646717
177,12495.987484,13723.287551
178,12840.232392,14207.564545
179,10837.620580,12400.248488
180,11252.045395,12230.228415
181,11389.376549,11784.330357
182,10875.663479,12190.767828
183,11833.639147,13007.916233
184,11498.435419,13253.401129
185,10853.509653,12338.598975
186,12975.152505,14001.533427
187,11278.206807,12695.984707
188,11196.330051,11618.666520
189,11152.660540,13629.594517
190,12632.231984,13717.670259
191,12050.222553,13346.342837
192,11714.954872,12748.592553
193,11784.897783,12938.996160
194,10533.420823,11617.024393
195,11118.386500,11825.128927
196,11053.904464,12804.726081
197,11602.712271,12454.598743
198,13155.222857,13630.302107
199,11149.809995,12057.000589
200,13152.819116,14343.868566
201,11724.464241,12400.952965
202,12629.518007,13280.569886
203,10999.299402,11749.664307
204,10573.892080,11509.008369
205,10868.835059,11391.367405
206,12969.581640,13818.919093
207,12341.957040,12782.722845
208,12103.245143,12913.574661
209,10223.632944,11867.536720
210,11842.722475,12959.986729
211,11543.108622,12632.540322
212,11492.562346,12213.718006
213,12595.837129,13051.735072
214,13266.680682,14444.807567
215,10629.807516,12157.750577
216,10852.348645,11477.773113
217,10757.028137,11755.724362
218,10259.068662,10749.750705
219,11711.132320,13217.041542
220,11726.675225,12170.576313
221,12194.084733,12574.646119
222,14438.574192,15084.652549
223,11358.687745,12587.165145
224,11975.936898,12577.525823
225,12063.929005,12523.649365
226,11645.413639,12626.292740
227,11961.837182,13095.981256
228,11569.226354,13069.243130
229,11022.661385,11913.955205
230,11379.461987,11979.039804
231,12592.970252,13597.296064
232,14489.468727,15077.123186
233,10958.336598,11719.933215
234,12677.736745,13660.372355
235,11848.390488,13967.173993
236,12196.711399,13134.850232
