Generation,TimeSeconds
0,5.286000
1,5.576000
2,4.834000
3,4.988000
4,2.677000
5,2.476000
6,5.933000
7,3.297000
8,4.487000
9,2.767000
10,5.397000
11,4.538000
12,4.192000
13,3.881000
14,3.167000
15,3.799000
16,6.117000
17,2.688000
18,4.266000
19,3.183000
20,4.886000
21,4.354000
22,5.879000
23,4.176000
24,3.897000
25,3.800000
26,3.927000
27,3.770000
28,2.755000
29,3.579000
30,3.570000
31,4.185000
32,3.100000
33,2.843000
34,3.866000
35,3.416000
36,3.445000
37,4.339000
38,4.077000
39,3.316000
40,5.432000
41,3.585000
42,3.820000
43,3.496000
44,2.164000
45,4.035000
46,4.022000
47,3.857000
48,3.548000
49,4.278000
50,2.972000
51,3.903000
52,4.745000
53,4.115000
54,2.862000
55,4.970000
56,3.999000
57,2.509000
58,3.110000
59,2.310000
60,5.038000
61,4.271000
62,3.177000
63,3.814000
64,4.908000
65,2.595000
66,4.139000
67,2.608000
68,4.924000
69,2.522000
70,3.516000
71,6.021000
72,2.678000
73,4.211000
74,5.424000
75,4.084000
76,6.691000
77,5.922000
78,5.832000
79,4.651000
80,5.349000
81,4.838000
82,3.444000
83,2.516000
84,5.094000
85,4.147000
86,2.172000
87,4.045000
88,4.384000
89,3.579000
90,4.641000
91,5.907000
92,5.544000
93,3.971000
94,3.409000
95,5.417000
96,3.475000
97,5.484000
98,4.162000
99,3.830000
100,4.164000
101,3.263000
102,3.221000
103,4.647000
104,2.980000
105,4.150000
106,5.553000
107,4.699000
108,4.607000
109,6.242000
110,5.722000
111,3.718000
112,3.751000
113,3.705000
114,5.146000
115,4.555000
116,6.044000
117,4.013000
118,4.678000
119,3.371000
120,7.358000
121,4.548000
122,4.287000
123,4.627000
124,6.296000
125,7.405000
126,3.455000
127,6.053000
128,4.469000
129,5.163000
130,4.915000
131,4.943000
132,3.519000
133,4.480000
134,3.468000
135,2.577000
136,6.960000
137,2.689000
138,4.563000
139,5.576000
140,3.966000
141,3.500000
142,3.339000
143,4.732000
144,5.820000
145,4.758000
146,3.432000
147,3.238000
148,5.813000
149,5.891000
150,3.527000
151,5.555000
152,4.509000
153,5.541000
154,3.147000
155,3.431000
156,4.007000
157,4.352000
158,3.008000
159,2.822000
160,2.480000
161,5.509000
162,2.965000
163,5.599000
164,5.981000
165,3.873000
166,3.540000
167,4.471000
168,7.906000
169,5.143000
170,5.978000
171,5.204000
172,3.349000
173,5.648000
174,4.096000
175,3.853000
176,4.605000
177,5.103000
