time,x0,y0,z0,bat0,state0,tx0,ty0,tz0,x1,y1,z1,bat1,state1,tx1,ty1,tz1,x2,y2,z2,bat2,state2,tx2,ty2,tz2,x3,y3,z3,bat3,state3,tx3,ty3,tz3,x4,y4,z4,bat4,state4,tx4,ty4,tz4
0.000,-39.657,1.000,-20.181,100.000,0,-29.194,5.000,-14.506,-32.285,1.000,-14.261,100.000,0,-64.702,5.000,-4.718,59.104,1.000,5.113,100.000,0,66.153,5.000,23.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.050,-39.657,1.000,-20.181,100.000,0,-29.194,5.000,-14.506,-32.285,1.000,-14.261,100.000,0,-64.702,5.000,-4.718,59.104,1.000,5.113,100.000,0,66.153,5.000,23.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.100,-39.654,1.003,-20.179,100.000,0,-29.194,5.000,-14.506,-32.289,1.003,-14.257,100.000,0,-64.702,5.000,-4.718,59.107,1.003,5.116,100.000,0,66.153,5.000,23.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.150,-39.647,1.010,-20.175,100.000,0,-29.194,5.000,-14.506,-32.295,1.010,-14.251,100.000,0,-64.702,5.000,-4.718,59.113,1.010,5.123,100.000,0,66.153,5.000,23.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.200,-39.637,1.020,-20.168,100.000,0,-29.194,5.000,-14.506,-32.305,1.020,-14.241,100.000,0,-64.702,5.000,-4.718,59.121,1.020,5.133,100.000,0,66.153,5.000,23.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.250,-39.624,1.033,-20.159,100.000,0,-29.194,5.000,-14.506,-32.318,1.033,-14.228,100.000,0,-64.702,5.000,-4.718,59.133,1.033,5.146,100.000,0,66.153,5.000,23.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.300,-39.607,1.050,-20.148,100.000,0,-29.194,5.000,-14.506,-32.335,1.050,-14.212,100.000,0,-64.702,5.000,-4.718,59.147,1.050,5.162,100.000,0,66.153,5.000,23.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.350,-39.588,1.069,-20.134,100.000,0,-29.194,5.000,-14.506,-32.354,1.069,-14.193,100.000,0,-64.702,5.000,-4.718,59.164,1.069,5.182,100.000,0,66.153,5.000,23.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.400,-39.565,1.092,-20.119,100.000,0,-29.194,5.000,-14.506,-32.377,1.092,-14.171,100.000,0,-64.702,5.000,-4.718,59.183,1.092,5.205,100.000,0,66.153,5.000,23.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.450,-39.539,1.118,-20.101,100.000,0,-29.194,5.000,-14.506,-32.403,1.117,-14.145,100.000,0,-64.702,5.000,-4.718,59.205,1.118,5.230,100.000,0,66.153,5.000,23.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.500,-39.510,1.147,-20.081,100.000,0,-29.194,5.000,-14.506,-32.432,1.146,-14.117,100.000,0,-64.702,5.000,-4.718,59.230,1.147,5.259,100.000,0,66.153,5.000,23.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.550,-39.478,1.179,-20.059,100.000,0,-29.194,5.000,-14.506,-32.463,1.178,-14.086,100.000,0,-64.702,5.000,-4.718,59.256,1.178,5.291,100.000,0,66.153,5.000,23.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.600,-39.444,1.213,-20.036,100.000,0,-29.194,5.000,-14.506,-32.497,1.212,-14.053,100.000,0,-64.702,5.000,-4.718,59.285,1.213,5.325,100.000,0,66.153,5.000,23.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.650,-39.407,1.251,-20.010,100.000,0,-29.194,5.000,-14.506,-32.534,1.249,-14.017,100.000,0,-64.702,5.000,-4.718,59.316,1.250,5.362,100.000,0,66.153,5.000,23.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.700,-39.367,1.290,-19.982,100.000,0,-29.194,5.000,-14.506,-32.574,1.288,-13.978,100.000,0,-64.702,5.000,-4.718,59.350,1.290,5.402,100.000,0,66.153,5.000,23.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.750,-39.324,1.333,-19.953,100.000,0,-29.194,5.000,-14.506,-32.616,1.330,-13.937,100.000,0,-64.702,5.000,-4.718,59.384,1.332,5.444,100.000,0,66.153,5.000,23.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.800,-39.280,1.378,-19.922,100.000,0,-29.194,5.000,-14.506,-32.660,1.374,-13.893,100.000,0,-64.702,5.000,-4.718,59.421,1.377,5.488,100.000,0,66.153,5.000,23.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.850,-39.233,1.425,-19.889,100.000,0,-29.194,5.000,-14.506,-32.707,1.421,-13.848,100.000,0,-64.702,5.000,-4.718,59.459,1.423,5.535,100.000,0,66.153,5.000,23.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.900,-39.183,1.474,-19.854,100.000,0,-29.194,5.000,-14.506,-32.755,1.469,-13.800,100.000,0,-64.702,5.000,-4.718,59.498,1.472,5.584,100.000,0,66.153,5.000,23.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.950,-39.132,1.525,-19.818,100.000,0,-29.194,5.000,-14.506,-32.806,1.520,-13.751,100.000,0,-64.702,5.000,-4.718,59.539,1.523,5.635,100.000,0,66.153,5.000,23.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.000,-39.079,1.578,-19.780,100.000,0,-29.194,5.000,-14.506,-32.858,1.572,-13.700,100.000,0,-64.702,5.000,-4.718,59.581,1.576,5.687,100.000,0,66.153,5.000,23.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.050,-39.024,1.633,-19.741,100.000,0,-29.194,5.000,-14.506,-32.912,1.626,-13.647,100.000,0,-64.702,5.000,-4.718,59.623,1.631,5.742,100.000,0,66.153,5.000,23.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.100,-38.967,1.690,-19.700,100.000,0,-29.194,5.000,-14.506,-32.968,1.682,-13.593,100.000,0,-64.702,5.000,-4.718,59.667,1.687,5.798,100.000,0,66.153,5.000,23.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.150,-38.909,1.749,-19.658,100.000,0,-29.194,5.000,-14.506,-33.026,1.739,-13.537,100.000,0,-64.702,5.000,-4.718,59.711,1.746,5.856,100.000,0,66.153,5.000,23.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.200,-38.849,1.809,-19.615,100.000,0,-29.194,5.000,-14.506,-33.084,1.798,-13.480,100.000,0,-64.702,5.000,-4.718,59.755,1.805,5.916,100.000,0,66.153,5.000,23.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.250,-38.787,1.870,-19.570,100.000,0,-29.194,5.000,-14.506,-33.144,1.858,-13.423,100.000,0,-64.702,5.000,-4.718,59.801,1.866,5.977,100.000,0,66.153,5.000,23.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.300,-38.725,1.933,-19.524,100.000,0,-29.194,5.000,-14.506,-33.206,1.919,-13.364,100.000,0,-64.702,5.000,-4.718,59.847,1.929,6.039,100.000,0,66.153,5.000,23.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.350,-38.661,1.997,-19.476,100.000,0,-29.194,5.000,-14.506,-33.269,1.982,-13.304,100.000,0,-64.702,5.000,-4.718,59.893,1.992,6.102,100.000,0,66.153,5.000,23.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
