time,x0,y0,z0,bat0,x1,y1,z1,bat1,x2,y2,z2,bat2,x3,y3,z3,bat3,x4,y4,z4,bat4
0.000,44.725,26.235,-39.533,100.000,-18.283,26.547,-31.971,100.000,44.634,20.125,-37.437,100.000,37.214,10.806,-9.181,100.000,0.000,0.000,0.000,0.000
0.050,44.725,26.235,-39.533,100.000,-18.283,26.547,-31.971,100.000,44.634,20.125,-37.437,100.000,37.214,10.806,-9.181,100.000,0.000,0.000,0.000,0.000
0.100,44.726,26.233,-39.529,100.000,-18.279,26.544,-31.968,100.000,44.637,20.122,-37.434,100.000,37.217,10.809,-9.185,100.000,0.000,0.000,0.000,0.000
0.150,44.727,26.229,-39.523,100.000,-18.273,26.537,-31.963,100.000,44.643,20.115,-37.427,100.000,37.224,10.816,-9.191,100.000,0.000,0.000,0.000,0.000
0.200,44.729,26.222,-39.513,100.000,-18.263,26.528,-31.954,100.000,44.653,20.105,-37.417,100.000,37.234,10.826,-9.201,100.000,0.000,0.000,0.000,0.000
0.250,44.731,26.214,-39.500,100.000,-18.249,26.515,-31.943,100.000,44.666,20.092,-37.404,100.000,37.247,10.839,-9.215,100.000,0.000,0.000,0.000,0.000
0.300,44.735,26.203,-39.483,100.000,-18.233,26.499,-31.929,100.000,44.681,20.076,-37.387,100.000,37.264,10.856,-9.231,100.000,0.000,0.000,0.000,0.000
0.350,44.739,26.190,-39.463,100.000,-18.213,26.481,-31.913,100.000,44.700,20.056,-37.368,100.000,37.283,10.875,-9.251,100.000,0.000,0.000,0.000,0.000
0.400,44.743,26.174,-39.440,100.000,-18.191,26.459,-31.894,100.000,44.722,20.034,-37.345,100.000,37.306,10.898,-9.273,100.000,0.000,0.000,0.000,0.000
0.450,44.748,26.157,-39.414,100.000,-18.165,26.434,-31.872,100.000,44.747,20.008,-37.319,100.000,37.332,10.924,-9.299,100.000,0.000,0.000,0.000,0.000
0.500,44.754,26.138,-39.385,100.000,-18.136,26.406,-31.848,100.000,44.774,19.979,-37.290,100.000,37.360,10.952,-9.328,100.000,0.000,0.000,0.000,0.000
0.550,44.760,26.117,-39.353,100.000,-18.104,26.376,-31.821,100.000,44.805,19.948,-37.259,100.000,37.392,10.984,-9.360,100.000,0.000,0.000,0.000,0.000
0.600,44.767,26.094,-39.318,100.000,-18.070,26.343,-31.792,100.000,44.838,19.914,-37.224,100.000,37.426,11.018,-9.394,100.000,0.000,0.000,0.000,0.000
0.650,44.774,26.069,-39.280,100.000,-18.033,26.307,-31.761,100.000,44.873,19.877,-37.187,100.000,37.463,11.055,-9.431,100.000,0.000,0.000,0.000,0.000
0.700,44.782,26.043,-39.240,100.000,-17.993,26.269,-31.728,100.000,44.911,19.837,-37.148,100.000,37.503,11.094,-9.470,100.000,0.000,0.000,0.000,0.000
0.750,44.790,26.014,-39.196,100.000,-17.951,26.229,-31.692,100.000,44.951,19.796,-37.106,100.000,37.544,11.136,-9.512,100.000,0.000,0.000,0.000,0.000
0.800,44.798,25.984,-39.150,100.000,-17.906,26.186,-31.655,100.000,44.993,19.752,-37.061,100.000,37.589,11.180,-9.557,100.000,0.000,0.000,0.000,0.000
0.850,44.807,25.953,-39.102,100.000,-17.859,26.141,-31.616,100.000,45.038,19.705,-37.015,100.000,37.635,11.227,-9.603,100.000,0.000,0.000,0.000,0.000
0.900,44.817,25.920,-39.051,100.000,-17.810,26.094,-31.575,100.000,45.084,19.657,-36.966,100.000,37.683,11.275,-9.652,100.000,0.000,0.000,0.000,0.000
0.950,44.827,25.885,-38.998,100.000,-17.759,26.045,-31.532,100.000,45.132,19.606,-36.916,100.000,37.734,11.326,-9.702,100.000,0.000,0.000,0.000,0.000
